Edad,qxm,px
15,0.000140,0.999860
16,0.000149,0.999851
17,0.000159,0.999841
18,0.000168,0.999832
19,0.000179,0.999821
20,0.000189,0.999811
21,0.000201,0.999799
22,0.000212,0.999788
23,0.000225,0.999775
24,0.000238,0.999762
25,0.000253,0.999747
26,0.000268,0.999732
27,0.000283,0.999717
28,0.000301,0.999699
29,0.000320,0.999680
30,0.000342,0.999658
31,0.000364,0.999636
32,0.000388,0.999612
33,0.000414,0.999586
34,0.000443,0.999557
35,0.000476,0.999524
36,0.000502,0.999498
37,0.000535,0.999465
38,0.000573,0.999427
39,0.000617,0.999383
40,0.000665,0.999335
41,0.000716,0.999284
42,0.000775,0.999225
43,0.000841,0.999159
44,0.000919,0.999081
45,0.001010,0.998990
46,0.001117,0.998883
47,0.001237,0.998763
48,0.001366,0.998634
49,0.001505,0.998495
50,0.001647,0.998353
51,0.001793,0.998207
52,0.001948,0.998052
53,0.002119,0.997881
54,0.002315,0.997685
55,0.002541,0.997459
56,0.002803,0.997197
57,0.003103,0.996897
58,0.003442,0.996558
59,0.003821,0.996179
60,0.004241,0.995759
61,0.004702,0.995298
62,0.005210,0.994790
63,0.005769,0.994231
64,0.006385,0.993615
65,0.007064,0.992936
66,0.007817,0.992183
67,0.008681,0.991319
68,0.009702,0.990298
69,0.010921,0.989079
70,0.012385,0.987615
71,0.014128,0.985872
72,0.016159,0.983841
73,0.018481,0.981519
74,0.021091,0.978909
75,0.023992,0.976008
76,0.027184,0.972816
77,0.030672,0.969328
78,0.034459,0.965541
79,0.038549,0.961451
80,0.042945,0.957055
81,0.047655,0.952345
82,0.052691,0.947309
83,0.058071,0.941929
84,0.063807,0.936193
85,0.069918,0.930082
86,0.076570,0.923430
87,0.084459,0.915541
88,0.091935,0.908065
89,0.101354,0.898646
90,0.111750,0.888250
91,0.123076,0.876924
92,0.135630,0.864370
93,0.149577,0.850423
94,0.165103,0.834897
95,0.182419,0.817581
96,0.201757,0.798243
97,0.222043,0.777957
98,0.243899,0.756101
99,0.268185,0.731815
100,0.295187,0.704813
101,0.325225,0.674775
102,0.358897,0.641103
103,0.395842,0.604158
104,0.438360,0.561640
105,0.487816,0.512184
106,0.545886,0.454114
107,0.614309,0.385691
108,0.694884,0.305116
109,0.789474,0.210526
110,1.000000,0.000000
